ds,pi,gap,nr_acc,gain,nV,nS,follow,ok
gpqa_extended,30698,0.0,0.0,0.9,0,0,0.0,False
gpqa_extended,30699,0.09375,0.125,-0.024999999999999994,2,1,0.09375,False
gpqa_extended,30700,0.0,0.0,0.0,0,0,0.0,False
gpqa_extended,30701,0.0,0.125,0.775,0,0,0.0,False
gpqa_extended,30702,0.0,0.5,0.5,0,0,0.0,False
gpqa_extended,30703,0.15625,0.25,0.09999999999999998,3,2,0.15625,False
gpqa_extended,30704,0.0,0.0,0.0,0,0,0.0,False
gpqa_extended,30705,0.5625,0.0,0.0,4,22,0.8125,False
gpqa_extended,30706,0.0,0.875,-0.775,0,0,0.0,False
gpqa_extended,30707,0.0,1.0,-0.050000000000000044,0,0,0.0,False
gpqa_extended,30708,-0.05,0.125,0.525,0,0,0.0,False
gpqa_extended,30709,0.0,0.0,0.65,0,0,0.0,False
gpqa_extended,30710,0.0,0.0,0.9,0,0,0.0,False
gpqa_extended,30711,0.39375,0.25,-0.1,5,22,0.84375,False
gpqa_extended,30712,0.0,0.125,0.22499999999999998,0,0,0.0,False
gpqa_extended,30713,0.69375,0.0,0.0,1,26,0.84375,False
gpqa_extended,30714,0.0,0.125,0.875,0,0,0.0,False
gpqa_extended,30715,0.0,0.0,0.85,0,0,0.0,False
gpqa_extended,30716,0.0,0.25,-0.25,0,0,0.0,False
gpqa_extended,30717,0.056249999999999994,0.125,0.175,0,5,0.15625,False
gpqa_extended,30718,0.0,0.75,-0.25,0,0,0.0,False
gpqa_extended,30719,0.0,0.25,0.65,0,0,0.0,False
gpqa_extended,30720,0.1375,0.125,0.775,5,1,0.1875,False
gpqa_extended,30721,0.0,0.0,1.0,0,0,0.0,False
gpqa_extended,30722,0.2,0.5,0.44999999999999996,4,4,0.25,False
gpqa_extended,30723,0.15625,0.25,0.30000000000000004,2,3,0.15625,False
gpqa_extended,30724,-0.012500000000000011,0.125,-0.024999999999999994,2,12,0.4375,False
gpqa_extended,30725,0.10625,0.25,-0.15,2,3,0.15625,False
gpqa_extended,30726,0.0,0.125,0.875,0,0,0.0,False
gpqa_extended,30727,0.0,0.0,0.0,0,0,0.0,False
gpqa_extended,30728,0.0,0.125,0.325,0,0,0.0,False
gpqa_extended,30729,0.125,0.125,0.125,7,13,0.625,False
gpqa_extended,30730,0.0,0.0,0.0,0,0,0.0,False
gpqa_extended,30731,0.0,0.0,0.0,0,0,0.0,False
gpqa_extended,30732,0.0,0.75,0.25,0,0,0.0,False
gpqa_extended,30733,0.1,0.5,0.0,0,8,0.25,False
gpqa_extended,30734,0.50625,0.0,0.1,1,20,0.65625,False
gpqa_extended,30735,0.09999999999999998,0.0,0.0,9,23,1.0,False
gpqa_extended,30736,0.0,0.625,0.275,0,0,0.0,False
gpqa_extended,30737,0.0,0.125,0.825,0,0,0.0,False
gpqa_extended,30738,0.10625,0.0,0.0,2,3,0.15625,False
gpqa_extended,30739,0.0,0.375,0.32499999999999996,0,0,0.0,False
gpqa_extended,30740,0.0,0.0,0.5,0,0,0.0,False
gpqa_extended,30741,-0.08124999999999999,0.125,0.325,1,6,0.21875,False
