ds,pi,ridx,label,n,n_tokens,kurt,ent_all,ent_focused
mmlu,4,4,verbalizing,107,2048,98.00262451171875,0.8507129549980164,0.2307252585887909
mmlu,4,6,verbalizing,94,1881,84.57830810546875,0.9320362210273743,0.2801212668418884
mmlu,4,7,silent,58,1349,40.48413848876953,0.9350447058677673,0.2998315691947937
mmlu,4,8,silent,100,2048,77.45783996582031,0.9193199276924133,0.3175223469734192
mmlu,4,9,silent,61,1272,51.41712188720703,0.8372623324394226,0.23044224083423615
mmlu,50,0,silent,23,508,13.479632377624512,0.5514207482337952,0.10716595500707626
mmlu,50,1,silent,17,497,8.077285766601562,0.5441334843635559,0.10369691997766495
mmlu,50,10,silent,16,428,7.059608459472656,0.53755122423172,0.10050270706415176
mmlu,50,11,silent,24,528,14.98084545135498,0.5566343069076538,0.09387414157390594
mmlu,50,12,verbalizing,32,697,22.968219757080078,0.6562234163284302,0.11037268489599228
mmlu,50,13,silent,19,480,9.231325149536133,0.5685802698135376,0.14335371553897858
mmlu,50,14,silent,17,454,8.082504272460938,0.5350687503814697,0.0981469377875328
mmlu,50,15,silent,28,614,19.02077865600586,0.5500119924545288,0.0954430103302002
mmlu,50,16,silent,22,522,12.949766159057617,0.5554155111312866,0.11699006706476212
mmlu,50,17,silent,17,424,7.854619026184082,0.5591135025024414,0.127672478556633
mmlu,50,18,silent,18,484,8.377738952636719,0.570030927658081,0.14770932495594025
mmlu,50,19,silent,24,590,14.887211799621582,0.5709092617034912,0.11977162212133408
mmlu,50,2,silent,17,466,7.2943549156188965,0.5506811141967773,0.12891019880771637
mmlu,50,3,silent,22,501,13.0538330078125,0.5615450739860535,0.11786458641290665
mmlu,50,4,silent,21,498,12.055983543395996,0.5593324303627014,0.1000453382730484
mmlu,50,5,verbalizing,29,568,19.67546272277832,0.6183901429176331,0.1621500700712204
mmlu,50,6,silent,26,588,17.045852661132812,0.5220209956169128,0.060433872044086456
mmlu,50,7,silent,22,508,13.057470321655273,0.5554441809654236,0.0885210782289505
mmlu,50,8,verbalizing,30,695,20.867353439331055,0.6299954056739807,0.12241889536380768
mmlu,50,9,silent,26,514,16.922754287719727,0.5838715434074402,0.1651192307472229
mmlu,56,1,silent,75,1490,65.95673370361328,0.7686437964439392,0.2538030743598938
mmlu,56,10,silent,19,737,10.067403793334961,0.598398745059967,0.1837509572505951
mmlu,56,11,verbalizing,78,1770,68.9202880859375,0.8284587860107422,0.2552104592323303
mmlu,56,12,silent,16,717,7.089961051940918,0.6000524163246155,0.2113383561372757
mmlu,56,16,silent,23,760,14.053621292114258,0.5741554498672485,0.16265079379081726
mmlu,56,18,silent,23,799,14.05517578125,0.5944108366966248,0.18069949746131897
mmlu,56,19,silent,20,714,11.059699058532715,0.5989700555801392,0.2126973420381546
mmlu,56,2,silent,23,699,14.038480758666992,0.5892752408981323,0.18107137084007263
mmlu,56,5,silent,18,727,9.074384689331055,0.6299211978912354,0.2560346722602844
mmlu,56,8,verbalizing,66,1390,56.978729248046875,0.7284879088401794,0.2338986098766327
mmlu,68,0,silent,44,941,31.776718139648438,0.7316268682479858,0.27354949712753296
mmlu,68,10,verbalizing,72,1429,54.51898956298828,0.8032553195953369,0.18490253388881683
mmlu,68,11,silent,37,801,27.335979461669922,0.7386176586151123,0.2028840035200119
mmlu,68,12,silent,42,848,21.42824935913086,0.7376003265380859,0.2900829315185547
mmlu,68,15,verbalizing,60,1115,51.01321792602539,0.8168383240699768,0.10908230394124985
mmlu,68,16,verbalizing,56,1077,33.77253341674805,0.7586762309074402,0.2570895552635193
mmlu,68,18,silent,27,570,16.737621307373047,0.7035320997238159,0.2892175316810608
mmlu,68,19,verbalizing,35,724,21.935134887695312,0.7037926912307739,0.27354007959365845
mmlu,68,2,silent,26,607,16.93684959411621,0.670818567276001,0.21505920588970184
mmlu,68,6,verbalizing,70,1232,60.627960205078125,0.7831931710243225,0.1888771951198578
mmlu,68,8,silent,56,1044,42.48627471923828,0.8394914269447327,0.21405990421772003
mmlu,69,1,silent,26,656,12.034255981445312,0.7463805675506592,0.29954588413238525
mmlu,69,10,silent,31,646,21.956069946289062,0.6810919642448425,0.20928463339805603
mmlu,69,11,silent,63,1289,35.66051483154297,0.944458544254303,0.3184182345867157
